Narrator:	 Every day is a holiday for SpongeBob, even if he has to make one up.
SpongeBob:	 That was delicious! Money's on the table, Mr. Krabs! 
Mr. Krabs:	 So long, boys! You see Squidward, the restaurant game is all about service. The customer is always right. Remember that, lad, and you'll be as successful as me one day.
Squidward:	 Oh, you're right, Mr. Krabs. I learned my lesson. And by the way, Bubble Buddy picked up the tab. 
Mr. Krabs:	 What's this?
Squidward:	 Bubble money.  At least he left a tip! 
SpongeBob:	 Here we are buddy, Goo Lagoon. There are lots of ways to have fun here. 
Scooter:	 Dudes, bury me! 
SpongeBob:	 See what I mean?
Scooter:	  All right!
SpongeBob:	 Bubble Buddy, you dig him out while I get us some cotton candy.
Scooter:	 Don't just stand there dude, the tide's coming in.  Dude?
SpongeBob:	  My friend's in there.
Harold:	 Congratulations.
SpongeBob:	  Woo! Shake it! Shake it! Yeah! Shake that bubble butt! Yeah! 
Pearl:	 It's the world-famous surf punk, Grubby Grouper!
Grubby Grouper:	 Later, groupies!  Grubby's got to go catch some gnarly pounders. Ahoo!
Pearl:	  Oh, I'll never wash this flipper again. 
SpongeBob:	 Hey Pearl! Shake hands with Bubble Buddy!  It's his first time on his own.
Harold:	 Once again, congratulations. 
Man:	 Popcorn! Peanuts!
Lou:	  Ice cold drinks!
Harold:	  Two hours is long enough! That's it! 
SpongeBob:	 Hey Bubble Buddy, you're finished! 
Francis:	 He kept us waiting for a bubble?
Larry:	 That's nothing! He called us fat! 
Pearl:	  He washed my flipper!
Mr. Krabs:	  He owes me money!
Squidward:	  He made me provide excellent service!
Scooter:	  Dudes! He made me experience high tide! 
Tom:	 He poisoned our water supply, burned our crops and delivered a plague unto our houses!
Protesters:	 He did?
Tom:	 No... But are we going to wait around until he does?
Mr. Krabs:	 I say we tip something over! 
Lifeguard:	 Hey, hey, hey! 
Protester:	 Now what?
Protesters:	 Get the lifeguard! 
Squidward:	 Wait! Don't waste this senseless violence on him! It's that stupid bubble of SpongeBob's that's causing all the problems!  Who's with me?
Protesters:	  Pop the bubble! 
SpongeBob:	  Hey everyone! Have you met my friend, Bubble Buddy?
Protesters:	 Yes...
SpongeBob:	 Hey, is this one of those sewing circles?
Protesters:	 No... 
SpongeBob:	 Would you mind not getting so close with those pins? Pointy objects make Bubble Buddy uncomfortable.
Larry:	 SpongeBob, that bubble's got to go.
SpongeBob:	 Oh no, he already took care of that, but thanks for your concern.
Pearl:	 No. "Go" as in... 
SpongeBob:	  Why?
Mr. Krabs:	 You and that bubble have been nothing but trouble! It's time to end it!
SpongeBob:	 No! I won't let you!  Here we go! You'll never catch us now! Never! Ha! Never!  Never...
Squidward:	 Enough sea-horsing around, SpongeBob! Give us that bubble!
Protesters:	 Pop the bubble! Pop the bubble! Pop the bubble!
SpongeBob:	 No! You can't! He's not just a bubble, he's a Bubble Buddy! He's my friend and I love him! Haven't you ever had a very special friend?
Mr. Krabs:	 Oh, Nickel Buddy, I'll never spend you!
Sheldon:	 Funny Muffler...
Larry:	 Jerky Pal...
Harold:	 Boo-boo Keys...
Man:	 Snake Eyes...  We love you! 
SpongeBob:	 So, what do you say?
Protesters:	  Pop the bubble! Pop the bubble! Pop the bubble! 
Squidward:	 Let's get this over with so I can go home and play my clarinet!
SpongeBob:	 Noo... 
Bubble Buddy:	 Whoa!  Hey, don't I get a say in this? I'll see you later, SpongeBob. Things are getting a little weird around here.
SpongeBob:	 So long. 
Bubble Buddy:	 Happy Leif Ericcson Day!
Squidward:	 He's... alive?
SpongeBob:	 Of course! Otherwise he couldn't tell such funny jokes!  Seems like only this morning that I held his bottle.  They blow up so fast. 
Squidward:	  Uh...hi?
