TV Announcer:	 The New Adventures of Mermaid Man and Barnacle Boy! We join Bikini Bottom's noblest, boldest, oldest superheroes as they bravely prepare for vacation.  But wait! While our heroes relax at leisure village, who will watch the Mermalair? 
Patrick:	 Yup.
Man Ray:	 I found this ID in this wallet. And if that's the case, this must be your wallet.
Patrick:	 That makes sense to me.
Man Ray:	 Then take it.
Patrick:	 It's not my wallet.
Man Ray:	  You dim-bulb! Take back your wallet or I'll rip your arms off! 
SpongeBob:	 Nuh. Wrong.  Good people don't rip each others arms off!  Okay, goodness lesson number two. You see someone struggle with a heavy package. What do you do?
Man Ray:	 Hello, friend. I noticed you were struggling with that package. Would you like some help?  Ow!
Patrick:	 Oops, sorry. Can I start over?
Man Ray:	 I noticed that...  Ow!
Patrick:	 Oops. Gotta start again. 
Man Ray:	 Could, Ow!
Patrick:	 Oops!
Man Ray:	 You butter-fingered pink thing! What's in that box anyhow?
Patrick:	 My wallets.
Man Ray:	  Arghh! 
Patrick:	 No! SpongeBob, tickle him! 
Man Ray:	 It tickles but it's worth it.
SpongeBob:	 Alright, goodness lesson number three.  Uhh, let's see. 
Patrick:	 I've got one. I'm thinking of a number between 1 and 100. What is it?
Man Ray:	 Umm... 62?
Patrick:	 Wrong! 
Man Ray:	 Haha. Stop.
SpongeBob:	 Hey, Patrick, that's got nothing to do with being good.
Patrick:	 Let go of it, SpongeBob.
SpongeBob:	 Pat, we've got to use it only when he's bad.
Patrick:	 Let go!
SpongeBob:	 No, you let go!
SpongeBob and Patrick:	 Let go! 
Man Ray:	 Frequency rising. Bel- Belt out of control. Ha, Ha, Ha, Ha, Belt on too hard.  It's tickling my DNA. Make it stop!  Haha. Please!
SpongeBob:	 Did you hear that, Patrick? He said the P word.
Patrick:	 Peanuts?
SpongeBob:	 No. Please.
Patrick:	 Well, that's good enough for me. I guess he's reconstituted.
SpongeBob:	 Rehabilitated.
Patrick:	 Gesundheit.
SpongeBob:	 It's graduation day, Man Ray. This is the key to your future.  Just look at him, Patrick. The picture of goodness.  Umm, we're not supposed to touch that stuff.  We're not supposed to touch it that way, either.  We are really not suppose to touch those, sir. [He aims the weapon at SpongeBob and Patrick] good people have no use for weapons such as...  Thoooose!
Man Ray:	  The only thing I'm good at is being evil.  So long, suckers.
Patrick:	 What's that smell, SpongeBob?
SpongeBob:	 That, Patrick, is the smell of defeat.
Patrick:	 Good, I thought it was my skin.
SpongeBob:	 Forget about your skin, Patrick. Man Ray is still bad and someone has to stop him. This is a job for Mermaid Man...
Patrick:	 ...and Barnacle Boy! 
SpongeBob:	 To the Invisible Boat Mobile. 
Patrick:	 Ignition, on!
SpongeBob:	 Wait! I don't have a license.
Patrick:	 Well, this is an invisible boat, right? So, you need an invisible license. 
SpongeBob:	 You're the best sidekick ever, Barnacle boy. 
Patrick:	 Thank goodness for invisible seat belts.
Man Ray:	 Out of my way, fools. You no longer have control of me. And now this town belongs to, ManRay!
SpongeBob:	 Not so fast, arch-villain. We still have the orb of confusion.  Take this!  Doy. Duh.
Man Ray:	 Well, that was easy.  Hahaha. All right, people! Everybody stand right where you are.
Man Ray:	 I want you to, uh...  No! No! Stop giggling or I'll have to...  Stop laughing, you fools.
Bank Lady:	 What can I do for you, sir?
Man Ray:	 Well, I'll tell you what you can do.  Gimme all of your...  G-gimme, gimme all of your...  Give me...  Ahh! The belt is gone but I still feel it's tickle. The urge to do bad is gone.  I guess I'll just open a checking account. 
SpongeBob:	 Doy.  Man-Ray!
Man Ray:	 No need to be alarmed, SpongeBob. Your teachings have transformed me. Besides, I have checks... with little poodles on them!  I won't be needing this anymore. Farewell, fellow do-gooder.  
SpongeBob:	 Bye, Man Ray! Wow. We did it! Just like the real Mermaid Man and Barnacle Boy. We saved the day. Isn't it incredible, Patrick! Patrick?
Patrick:	 Uhh... 
SpongeBob:	 Patrick, you know that thing's turned off, right? Patrick? Yoo-hoo? Patrick?!
