French Narrator:	 Ah, The Krusty Krab. Bikini Bottom's premiere daytime eatery. Where it will be closing time right about...
SpongeBob:	 What?
Squidward:	 It's not true! None of it's true!
SpongeBob:	 It's not?
Squidward:	 Of course not. Nobody has a spatula for a hand. It was all a joke.
SpongeBob:	 Ohhhhh.  
SpongeBob:	  Isn't this great, Squidward?  There's never time to wash the ceiling during the day.
Squidward:	  Open 24 hours a day. What a stupid idea! Who wants a Krabby Patty at three in the morning?
Patrick:	  Oh boy! Three A.M.! 
Squidward:	 Just look at this place. It's like a ghost town in here!  Very funny, SpongeBob.
SpongeBob:	 What?
Squidward:	 "And the lights will flicker on and off." Just like the story. I get it. 
SpongeBob:	 Hey Squidward, how are you doing that without moving the switch?
Squidward:	 I'm not doing it. It must be the stupid, faulty wiring in here. This place isn't built to run 24 hours a day!  What, what, hello? Hello? Hello?
SpongeBob:	  Nice try, Squidward.
Squidward:	 Nice try, what?
SpongeBob:	 "The phone will ring and there will be no one there."  Oh, you crack me up.
Squidward:	 SpongeBob, I'm not doing this.  Oh no, calm down, calm down. All right, what was it? There was the lights,  and the phone,  and the walls will ooze green slime!  No, wait. They always do that. But what was that third thing? 
SpongeBob:	  I didn't know the buses ran this late. 
Squidward:	 They don't! 
SpongeBob:	 Well they're dropping someone off. 
Squidward:	 
Squidward:	 The SASH-RINGING, FLASH-SINGING, THE BASH-PINGING...
SpongeBob:	 The Hash-Slinging Slasher! 
Squidward:	 At last you understand! We're doomed!
SpongeBob:	 No, that's not it.  I am just so touched that you would go through the trouble to dress up as a ghostly fry cook and stand on the other side of the street, just to entertain me! You must really like me! 
Squidward:	 SpongeBob, there are two problems with your theory. One - I hate you. And two - how can that be me when I'm standing right here!? 
SpongeBob:	 
SpongeBob and Squidward:	 THE HASH-SLINGING SLASHER!!! 
Squidward:	 SpongeBob, no matter what I've said, I've always sort of liked you!
SpongeBob:	 Squidward, I used your clarinet to unclog my toilet!
Squidward:	 Huh? 
Hervy:	 Can I have a job application? I brought my own spatula.  I called here earlier but I hung up 'cause I was nervous.
SpongeBob:	 Do you have references?
Squidward:	 Wait, if that was you on the phone and you on the bus, then who was flickering the lights? 
SpongeBob, Squidward and The Unnamed Guy:	 Nosferatu!
Nosferatu:	 
