Scallop:	 
SpongeBob:	 Sandy's wilderness tips are always on the money!  Okay, let's see, I came from...no, I came...  I'M LOST!  Hey, there's one of my landmarks! The broken fire hydrant!  Hello, hydrant! I'm going to call you Heidi. Heidi the Hydrant!  So many broken fire hydrants. What do I do now, Heidi? If only I could telephone Squidward. He'd help me out.  Hey, that thing looks kind of like a phone.  Wow, this is weird. It's like a phone, but you put money in it.  My last dime.  I hope this works. 
Squidward:	 Krusty Krab. May I reluctantly help you?
SpongeBob:	 It's me, Squidward. SpongeBob. I'm calling from the payphone.
Squidward:	 You don't say. How's that shortcutting going?
SpongeBob:	 Not good. I think I took a wrong turn at the abandoned sofa. All there is around here are broken fire hydrants. What should I do?! 
Operator:	 If you'd like to continue this call, please insert another dime.
SpongeBob:	 I don't have a dime! Operator, please, please, can you tell me where I am?
Operator:	 If you'd like to know where you are, please insert another dime.
SpongeBob:	 Uh, hold on!  Two nickels! I need a dime! Oh, I'm never going to get to work!
Scott:	 What are ya doing?
SpongeBob:	 Looking for a dime in this abandoned sofa!
Scott:	 This is our abandoned sofa, pal!
SpongeBob:	 What ya doing there, drinking soda?
Scott:	 What's it tooya!
SpongeBob:	 Isn't it a little early to be hitting the high-fructose corn-syrup?
Scott:	  Hey, listen! I know this gigantic soda isn't good for me, but sometimes it gives me the kick I need to start my busy day as a pedicab driver!
SpongeBob:	 Ooh, you drive a pedicab?
Scott:	 Yes, sir!  You need a ride somewhere?
SpongeBob:	 Yes! To the Krusty Krab, and step on it! 
Scooter:	 Way to go, Scott!
Charlie:	 Yeah, he's almost saved enough to attend a community college next year! 
SpongeBob:	  Thanks a lot, Scott! Stay in school!  Krusty Klam?!  Wait, Scott, come back!  TARTER SAUCE!!! 
SpongeBob's Clock:	 Tock!
SpongeBob:	 No! Over the cliff!  Through the toxic runoff!  Make a right at the disease-filled sewer pipe!  Face-first into this fetid muck! Over the garbage pile! Fall down this mountain of broken glass! Over the excruciatingly sharp razor-wire!  Up this massive hill!  That's...the Krusty Krab! And I'm still 2 minutes early!  I made it! I made it!  Oh, random Krusty Krab patrients! How I've missed out!  Oh, how I've missed your youthful faces!  I missed the bathroom, too!   But most of all, I missed you, choking guy!   Patrick? How did you get here?
Patrick:	 Same way I always do. Scott gave me a ride in his pedicab. 
SpongeBob:	  Squidward! Squidward, can you believe I made it?! 
Squidward:	 Congratulations. 
Mr. Krabs:	 What are you doing, boy?! You're scaring all me customers with your foul stench!
SpongeBob:	  Mr. Krabs!
Mr. Krabs:	  Oh no, lad, you're not coming in here looking like that!  You're going straight home for a nice long bubble bath! 
SpongeBob:	 Aye-aye, sir!
Squidward:	 What?! He gets to go home and take a bubble bath?! That's my thing!
Mr. Krabs:	 Yes it is. And consequently, you are just neat as a pin! Now get to work!
Squidward:	 I'm as neat as a pin? I'll show you neat as a pin!  Where's my bubble bath, Mr. Krabs?! 
Mr. Krabs:	 There you go!  Now get to work! 
Sal:	 Uh, you guys open? I have coupons! "Buy one, get one free!"
Mr. Krabs:	 Oh no! It says "Buy one for a fee!"
Sal:	 Oh! I stand corrected! 
