Narrator:	 Mrs. Puff's Boating School. Where diligent students learn the rules of the road.
Patrick:	 Uhh, he's just standing there... menacingly!  Get out of there, SpongeBob!  That's his maniac shriek. He's going to attack!  He's acting all crazy! Run! Hide behind that building!  No, he's behind that building! Oh, quick, hide behind that street sign!  No wait! The maniac just went behind that sign! Quick! Get under the street light!  No wait, he's there, too! Run for your life! 
SpongeBob:	  Say again, deputy?
Patrick:	 The maniac's in the mailbox! 
SpongeBob:	  Huh, this guy's not half-bad-looking for a maniac. Wait a minute, Patrick,  the maniac! 
Officer Durado:	 We'll take that as a confession. 
Mrs. Puff:	 SpongeBob SquarePants, there you are! I turn my back on you for one minute and you destroy half the city! You should be ashamed of yourself!
Officer #1:	 You know this guy?
Mrs. Puff:	 Of course I do. I'm the one who gave him the uniform in the first place. He's my responsibility.  Uh-oh...  And in conclusion, students: red means stop, green means go. And SpongeBob...
SpongeBob:	  Yes, Mrs. Puff?
Mrs. Puff:	 I'd like to see you after class. Six months from now. 
