Radio:	 Good morning, Bikini Bottom! It's a very special day today because we have got the new single from Boys Who Cry: 'It's All About You'.
Pearl:	 This sea pony is the cutest thing ever. Do you want to come home and be my pony?  Whee! 
Judy:	 Pearl, come here. This is so coral. 
Pearl:	 Oh my gosh, it's Billy Fishkins.
All:	 Hi, Billy!
Billy:	 Meep. 
SpongeBob:	  Isn't he dreamy? 
Cashier:	 Price check on 4.
Billy:	 Meep.
Squidward:	 I finished Pearl's portrait, Mr. Krabs. It's a true masterpiece. 
Mr. Krabs:	 Hey...maybe I should have hired that ice sculptor.
Squidward:	 Ice sculptor? Any fool can sculpt in ice. It takes true genius to transform 400 pounds of raw Krabby Patties into a work of such majesty.
Mr. Krabs:	 Yeah. Well, we've got the decor covered. Now how about entertainment? Pearl wants some boy band called 'Boys Who Cry'.
Squidward:	 Boys Who Cry? They're my favorite band. They charge a million dollars just to show up. And if you want them to lip-sync, it'll run into real money.
Mr. Krabs:	 You're a real fan, huh?
Squidward:	 Oh yeah, I know all their songs.
Mr. Krabs:	 All their songs?
Pearl:	 Wouldn't it be cool if my dad got me this for my birthday?
Friend #1:	 It sure would be. If he was cool, which he's not. 
Pearl:	 Yeah, he probably got me another box of staples.
Mr. Krabs:	 It's almost time for the party to start!
SpongeBob:	 I'm back, Mr. Krabs!
Mr. Krabs:	 SpongeBob, what took you so long? And where's Pearl's present?
SpongeBob:	 the delivery truck will be here momentarily.
Squidward:	 Here she comes, Mr. Krabs.
Mr. Krabs:	 Everybody get into position. 
All:	 Happy birthday! 
Judy:	 "It's a boy"?! 
Pearl:	 Daddy! 
Friend #1:	 Stale popcorn.  It tastes like dishwater.
Squidward:	 It is dishwater. 
Pearl:	  Is that supposed to be me?  It's made out of Krabby Patties! Gross.
Mr. Krabs:	 Who wants cake?
Pearl:	 Well, the cake does look good.  It's made out of cardboard?!
Mr. Krabs:	 And frosting.
Friend #1:	 Well, Pearl, 16 lame parties in a row. Must be a new record. Let's get out of here.
Pearl:	 Wait, don't leave. My dad got Boys Who Cry to play. You did get Boys Who Cry, right?
Mr. Krabs:	 Oh, even better sweetie. Hit it. 
Squidward:	 Hello, ladies.  When my tear ducts get issue, I can't use just any tissue... I need 4-ply, 4-Ply, 4-Ply, when I cry... Huh!
Friend #2:	 Hey, that is not Boys Who Cry.
Judy:	 Yeah!
Friend #2:	 Boo!
Friend #1:	 What a rip-off!!
Judy:	 This stinks!
Pearl:	 Daddy, how could you? I gave you a list. 
Mr. Krabs:	 Pearl, come back. 
Pearl:	 You ruined everything! You couldn't stop being cheap, even for me. 
Mr. Krabs:	 I'll make it up to you somehow, Pearl.
SpongeBob:	 That's it. Back it up. Right there. Let 'er go! 
Pearl:	 You bought me a boat?
Mr. Krabs:	 I did? I mean...I did?
Friends:	 Wow.
Pearl:	 Oh, daddy, I don't know how it could get better than this.
SpongeBob:	 Just watch.  Hit it boys! 
Endsong:	 Boys Who Cry "It's All About You"
Mr. Krabs:	 Boy, how much is all this costing me?
SpongeBob:	 Here's the receipt.
Mr. Krabs:	  I ought to...
Pearl:	 Oh, daddy, you got me everything I wanted. 
Mr. Krabs:	 Ah, nothing's too good for me daughter. Heh.
SpongeBob:	 You're a good dad, Mr. Krabs.
Mr. Krabs:	 Don't push your luck, boy.
