Squilliam:	 Thank you.  Thank you.  Ah.
Patrick:	 Oh, a, oh, actually, I think he was about to say Squid... 
Squidward:	  Didn't you two nincompoops know? I have my name legally changed to Squilliam Fancyson. And you are to refer to me only as Professor Squilliam from now until the end of time. Now blink twice so I know you understand.  Okay, good.  Hey, he blinked three times!
SpongeBob:	 Wow, only eight minutes in and we've already been given a math quiz. Very advanced music class, huh, Patrick?
Patrick:	 I'll say.
Squidward:	 Would you two numb skulls mind telling me what you're doing in music class anyway?
SpongeBob:	 Sure! Patrick's New Year's resolution was to learn to play an instrument!
Squidward:	 You told me your resolution was to sign up for an all natural slimming, toning, and increased muscle mass program!
Patrick:	 It was. I traded with SpongeBob.
SpongeBob:	 And I have been very happy with the results. See? 
Squidward:	 Wow, those  impressive results.
Squidward:	  As you may not be aware, music is a...  Music is a...  Music is a complicated series of...  ...is a complicated series of notes that when played in the...  SpongeBob, do you mind?! There are other people here besides you, you know. And I don't think they appreciate you depriving them of my wisdom!
SpongeBob:	  I'm sorry, Professor Squilliam.  Patrick here keeps tickling my foot.
Patrick:	 No way! He's making that up! It was him!
Squidward:	 You expect me to believe he was tickling himself?
Patrick:	 You better tell him, SpongeBob.
SpongeBob:	 Alright, it was me.
Squidward:	 You were tickling yourself?
SpongeBob:	 Mm hmm!
Squidward:	 How?
SpongeBob:	 Like this. 
Squidward:	 Alright, that's enough!
Squidward:	 There. Now, as I was saying, music is a series of complex...  SpongeBob, I told you to stop tickling yourself!
Patrick:	 Actually, that time, it really was me.
Squidward:	 Now, I'm going to put some notes on the chalkboard.  Excuse me? Is there something you'd like to share with the rest of the class?
Patrick:	 Uh-uh.
Squidward:	 Go on, you've already interrupted once. You might as well tell us what was so very important.
Patrick:	 Well, I was just saying that these lines you drew remind me of a railroad track.
Squidward:	 I have never heard anything more insipid, insane, uninteresting, or irrelevant!
Patrick:	 Well, actually, there  a railroad convention in town last week, and I bought myself this nifty conductor's cap. 
Squidward:	 I have never seen a more ridiculous looking outfit on top of anybody's head, anywhere!
Patrick:	 Well, I don't know. Suits my needs.
Squidward:	 What else did you buy at this convention? Your very own locomotive? 
Patrick:	 Yes.
Squidward:	 Ha! Ha! Ha! What the...?
Squidward:	 Now, where were...  ...we?
Squidward:	 This is what's known as a metronome.
SpongeBob:	 Hey, my mom has one of those in her garden!
Squidward:	 No, SpongeBob, that was a garden gnome.
Squidward:	  Anyway, the metronome helps us keep time.
SpongeBob and Patrick:	 Tick, tick, tick, tick, tick, tick, tick, tick, tick, tick, tick, tick, tick...
Squidward:	 Do you mind?  Is there something seriously wrong with your HEADS?!
SpongeBob:	 My whole life has been pointed in one direction.
Patrick:	 I see that now. There's never been any choice for me.
Squidward:	 Will you two nincompoops cut it out?! Or am I gonna...
Bikini Bottom News Reporter:	 Hello! We're with the local Bikini Bottom News Channel. I'm a reporter.  We're here to conduct an interview with the esteemed musical genius Squilliam Fancyson.
Squidward:	 Please ignore them.
Bikini Bottom News Reporter:	 Are those students of yours?
Squidward:	 Nope, they're just morons. Come on, you two, snap out of it!
Bikini Bottom News Reporter:	 They appear to be in some type of trance. A case of genuine hypnosis like this make a much hotter scoop.
Squidward:	 Hotter? Scoop?!
Bikini Bottom News Reporter:	 Well, it's the sort of thing that borders the paranormal. Our viewers just eat that stuff up.
Squidward:	 Paranormal?! The only thing paranormal around here is how fast I'm going to make you two disappear!! 
Bikini Bottom News Reporter:	 Don't blame me, blame the market. 
SpongeBob:	 Wha...? Where am I? I felt like I was in some sort of horrible trance. 
Squidward:	 You wanna know what happened?
SpongeBob and Patrick:	 Okay!
Squidward:	 You once again managed to single-handedly annihilate what might be the one and only chance I may ever get to sew just one tiny seed of creative hope into the culturally barren wasteland that each and every one of us is forced to call home!
Blue Fish:	 Actually, I've been commuting from upstate.
Squidward:	 Now, I don't suppose you two have anything to say for yourselves?
SpongeBob:	 Well, I guess if I was to say one thing, it would have to be: We're sorry, Squidward. 
Patrick:	 Yeah, we're sorry, Squidward.
Squidward:	 No, no, no, no, no! Shh shh shh...
Blue Fish:	 Hey, did those guys just call you Squidward?
Squidward:	 No, no, no, no, no! They said "Squilliam"!
Gray Fish:	 Oh! I knew this guy was phoney from minute one! I'm gettin' outta here.
Blue Fish:	 Yeah, me too! I'm gonna get my tuition back!
Squidward:	 No! Wait!  No! You're not going anywhere!
Squidward:	 Wha-What's going on here?
Aqua-Colored Police:	 Sorry, Professor, your little symphony is over.
Music School Headmistress:	 It's true, we're onto your little ruse! 
Bikini Bottom News Reporter:	 What a hot scoop!
Music School Headmistress:	 The  Squilliam, as we all know, has a large, bushy unibrow just at the base of his forehead. 
Squidward:	 But...
Green Police Fish:	 No unibrow. Squidward Q. Tentacles, I'm placing you under arrest for impersonating a genius.
SpongeBob and Patrick:	 Tick, tick, tick, tick, tick, tick, tick...
