French Narrator:	 We take you now to Encino, California, where we find the President of the SpongeBob SquarePants fan club flipping burgers?
Potty:	 You've got rats in the kitchen!
Patchy:	 Oh, I brush and shampoo them daily. Who's Patchy's little princess?  Owwwwwwwww! Mmmmmm! Don't do that!
Potty:	 And you should wash your hands after using the bathroom.
Patchy:	 What? Everytime?
Potty:	 That's not all! This is a step in the right direction.
Patchy:	 What kind of a pirate wears a hairnet?
Potty:	 The same kind who wears a "Kiss the Cook" apron.
Patchy:	 Well, you'll never know, Potty. I might get lucky. You hear that, ladies? Patchy's available. Huh? 
Potty:	 Now I feel sick.
Patchy:	 That's it, you feathered snake! This time you gone too far!
Potty:	 Brawk, you missed! Squawk! Is that all you got?
Potty:	 Now you've done it.
Mr. Pirateson:	  Arrrrrrrrrrrrrrrrrrrgh!
Patchy:	 Yes, Mr. Pirateson.  You kids watch the rest of the cartoon, while I watch Potty get fired.
Mr. Pirateson:	 Arrrrrrrrrrrrrrrgh!
Patchy:	 Coming, Mr. Pirateson, sir.
Mr. Krabs:	 So we went back to our secret hideaway, the dump, to prove to those chowder heads that a burger could be semi-edible and easy to swallow. We made sure to keep careful record of our progress. 
Plankton:	 Gently. Gently. 
Mr. Krabs:	 We finally emerged the best-looking burger under the sea. We went back to Stinky's to rub our patty in those kid's greasy faces. But Stinky's had been shut down by order of the Health Department. So we seized the opportunity and converted our hideout into a restaurant.  Our adventure into capitalism began. One dollar, please. 
Plankton:	 There you are, sir.
Mr. Krabs:	 T'was me first dollar I ever earned, and was also the start of a beautiful, romantic relationship with money.
Fish #5:	 Hey! Your burger's even worse than Stinky's. We can barely keep them down. And if it weren't for Stinky's shutting down, no one would eat here. So give me a burger. I'm starving.
Plankton:	 Just look at them, Eugene. The very people who ridiculed me are now feasting on my recipe.
Mr. Krabs:	 I thought it was our recipe.
Plankton:	 I'm ruling their stomachs. And soon I'll be ruling their minds! 
Mr. Krabs:	 But what about satisfying the customer?
Plankton:	 Barnacles to the customer, I'm talking about ruling the world!  And with this secret recipe, nothing will stop me!
Mr. Krabs:	 Give me that!
Plankton:	 Stop! You're gonna bust it! 
Mr. Krabs:	 Burgers aren't for ruling worlds!
Plankton:	 I'm terribly sorry, Eugene, I couldn't hear you. Could you come closer? Maybe stand on the tile in front of you?
Mr. Krabs:	 Which one? The one that says "Eject" or the one that says "Trap Door"?
Plankton:	 Oh, either one will do.
Mr. Krabs:	 What I was saying was...  You'll regret this one day!  And he always did.
Plankton:	  Lies! 
Mr. Krabs:	 Hold on there, me boy. We don't need to go through that again.
Plankton:	 Very touching, but completely false.
Mr. Krabs:	 Don't know what you mean.
Plankton:	 Why don't you tell them the truth?
SpongeBob:	 It did happen that way, didn't it, Mr. Krabs?
Plankton:	 Most of it's true, except for what really happened! We had created the tastiest burger. That's when things became unsavory. 
Mr. Krabs:	 First, I'll rule their stomachs and then...  ...their money! 
Plankton:	 But what about satisfying the customers?
Mr. Krabs:	 Barnacles to the customers!  I'm talkin' about coins, cash, wallets, bank accounts! And with this secret recipe, nothing will stop me!
Plankton:	 Gimme that! 
Mr. Krabs:	 Stop, you're gonna bust it. 
Plankton:	 This isn't about money, Eugene.
Mr. Krabs:	 Malarkey. 
Plankton:	 You'll regret this one day!  Ouch.  Our little squabble only got me part of the recipe.
SpongeBob:	 Gosh, Mr. Plankton, that doesn't sound like the Mr. Krabs story at all.
Karen:	 That's because it isn't.
SpongeBob, Mr. Krabs, & Plankton:	 Karen?!
Karen:	 You're both liars. That's not how it happened at all. In those days, I was just starting out as a security system. Plankton and I met when he installed me.
Plankton:	 It was only our third date.
Karen:	 Anyways, I had recorded the whole thing in my databanks. 
Plankton:	 Now that's a handsome looking burger.
Mr. Krabs:	 You said it, old chum.  Attention! Get your Plankton and Krabs patties right here!  Do you think it was a good idea to open in the dump? 
Plankton:	 What's that music?
Mr. Krabs:	 I'd know that theme song anywhere. It's Old Man Jenkins. Old Man Jenkins! 
Old Man Jenkins:	 I just been looking for some new shoes for Ol' Bessie.
Mr. Krabs:	 You've help me mom and me through some tough times. It would be an honor if you'd be the first to try our delicious burgers.
Old Man Jenkins:	 Why, I'd be happy to! 
Mr. Krabs & Plankton:	 Yeah! 
Mr. Krabs:	 "Plab Patties KO's Old Man J". I can't believe we poisoned that sweet old guy.
Plankton:	 Well, he is old.
Mr. Krabs:	 Hey. that guy is like family to me.
Plankton:	 Well, it was your fault the patty was tainted.
Mr. Krabs:	 You're the one who put too much seaweed sauce in the burger.
Plankton:	 You let it sit out too long. That's what did it! I'm taking the recipe and fixing it.
Mr. Krabs:	 No way, that recipe's mine! 
Plankton:	 Stop, you're gonna...  You wanna fight over this recipe, I'll give ya a fight you'll never forget! 
Mr. Krabs:	 Well, that's ruined. But, no use letting this go to waste. These kids'll eat anything.  I've done it. I've discovered the perfect patty batter.
Karen:	 Meanwhile, Plankton was back at the elementary school. But this time, he was going it alone. 
Mr. Krabs:	 Oh, no you don't! This is my turf.
Plankton:	 I think not, Rag Boy.
Mr. Krabs:	 What? Why I oughta squash you right now. You little...
Plankton:	 Get out of my face! 
Fish #6:	 Hey, look! Nerd fight.
Bully:	 I bet five bucks on Rag Boy.
Plankton:	 Aha! We'll let the customers decide whose burger is better. Step right up, gents. Get a delicious Chum Burger right here.
Classmate:	 Big Johnny will eat anything. 
Plankton:	 Have a Chum Burger, Johnny, sir. 
Karen:	 Plankton had pieced together his own creation using memory and science.
Plankton:	 Go on, sir! Tell your buddies what you think! 
Classmate:	 I'm gonna try one of Rag Boy's burgers.
Mr. Krabs:	 Here ya are, sir. You are the first to taste a Krabby Patty. 
Classmate:	 Flavor!
Fish #7:	 Edible!
Kid Fish:	 We can actually hold it down!
Fish #8:	 This is the most flavortastic sensation my still-developing taste buds have ever experienced!
All:	 Yay, Rag Boy!
Plankton:	 I'll show you, Krabs! I'll steal that cursed recipe from you one day, and I won't stop till I do! 
Mr. Krabs:	 Woo-hoo! My recipe was, is, and always will be the best.
Plankton:	 You wouldn't have that recipe if it weren't for me.
Mr. Krabs:	 You callin' me a liar?
Karen:	 Will you men stop yelling at each other? I can't believe you let a recipe ruin such a wonderful friendship. 
Mr. Krabs:	 You were my only true friend that didn't have a president printed on him. But money doesn't hug back.
Plankton:	 My life has been nothing but a long line of disappointments since we became enemies. All these years I've been trying to steal your formula. But I was really just trying to steal back our friendship.
Mr. Krabs:	 Really?
Plankton:	 It's all I ever really wanted. To get back to the way it used to be. You and me against the world! How about a hug, Krabs, old pal?
Mr. Krabs:	 I'd like that, Planky, old chum. 
SpongeBob:	 Doesn't it just warm your heart, Karen?
Karen:	 I suppose it would. If I had one.
Plankton:	 I'm sorry, Krabs, old buddy.
Mr. Krabs:	 Me, too. Me, too. 
Plankton:	 Now, Karen!  Back off, Rag Boy. 
SpongeBob:	  Sabotage!
Plankton:	 Go, Karen! 
Patchy:	 Ohh, that Plankton never learns does he kids. As for me I decited to take some time off to catch up on me reading. 
Potty:	 Hey, you didn't take time off, you got fired!
Patchy:	 Hey, you got fired, too!
Potty:	 I got a golden parachute.
Patchy:	 Well, at least I know they won't ever be able to replace me.
Potty:	 Brawk, looks like they already did.
Patchy:	 What? They let a smelly, hairy, flea bag like that serve food?
Gorilla:	 Ohhhhhhhhh! Ohhhhhhhhh! Ohhhhhhhhh! Ohhhhhhhhh!
Patchy:	 Shh!
Patchy:	 Ow! Ow! Ow!
Gorilla:	 Ohhhhhhhhh! Ohhhhhhh...!
Patchy:	 Hey, watch it, I have a tomato allergy! Hey, watch the butt!
Narrator:	 And so kids, always remember to follow your dreams, unless you're Patchy, and just stay in bed.
