Narrator:	 Bikini Bottom Prison. Home of the worst of the worst and currently of that little miscreant Plankton. Otherwise known as number 6-5-5-3-2-1.
Mr. Krabs:	 Don't worry SpongeBob! We're ready for 'em!
Plankton:	 I gave you your freedom, now bring me the Krabby Patty Formula!
Plankton's Cellmates:	  Heave-ho! Heave-ho! 
Mr. Krabs:	 They got past me!  Me restaurant!
Plankton:	 Yes! With my new gang of vicious convicts, you're no match for me now Krabs! Fellow jailbirds, bring me the Krabby Patty formula! 
Whale Cellmate:	 Sorry boss. We've looked everywhere for it but we can't find it!
Plankton:	 Did you tried looking in the safe?
Whale Cellmate:	 Oh. 
Plankton:	 EUREKA! 
Mr. Krabs:	 Plankton! Don't do it!
Plankton: 	Sorry Krabs! Nothing can stop me now! 
Policeman:	 Except the law! 
Plankton:	 What's happening!?
Mr. Krabs:	 SpongeBob warned me you're planning a jailbreak so I took the precaution of hiding the entire Bikini Bottom Police Force in me safe!
Policeman:	  Come along, Plankton. It's back to jail for you!
Plankton:	  Hey! Watch where you're pointing that thing buster!
Policeman:	  Just move along.
Mr. Krabs: 	Well, thanks to your hard work, the Krabby Patty recipe is safe!
SpongeBob:	 And you win again! 
Mr. Krabs:	 Yep! I'm a winner!
