French Narrator:	 Ahh, another peaceful evening in Bikini Bottom. Listen to the tropical tranquility.  Uh-oh. 
Sandy:	  SpongeBob!
SpongeBob:	  How would you know?! It's always behind you! Oh, don't go, don't go, don't go! 
Sandy:	  SpongeBob, what is the matter with you? Now, I'm gonna go give that legless rascal what-for, and there ain't nothing you can say to stop me! 
SpongeBob:	 Oh yeah? What if I said... 'blargen fedibble no-hip'?
Sandy:	  Well, I gotta admit, that slowed me down, but I'm still going for him! 
SpongeBob:	  You know, tails are so overrated. Let's just forget about it and go home.  I've got ice cream! With nuts...  Sandy, this is your pappy speaking, and I forbid you to go after this worm! Y'all come back here, young lady!
Sandy:	 You ain't my pa!
SpongeBob:	  Sandy, if you want to get to that worm, you're gonna have to go through me!  Sandy, no! I can't let you! I'm not gonna let you get killed. If you find him, you'll get eaten for sure!
Sandy:	 Ain't no way some dumb old sea worm's gonna make a meal of me. I'm too Texas tough!
SpongeBob:	  No, not tough enough. Not tough enough!
Sandy:	 SpongeBob, quit your worrying. I can take care of myself. After all, who's the strongest critter in Bikini Bottom? 
SpongeBob:	 You are.
Sandy:	 And who put the hi-yah, hi, ho, "K" in karate? 
SpongeBob:	  You did.
Sandy:	 And who saves your yellow backside from certain destruction on a regular basis?
SpongeBob:	  You do.
Sandy:	 Right. And I can handle your little bull worm too, 'cause I am the best there is! There ain't nothin' too big or too ornery for me to catch.
SpongeBob:	 Okay.
Sandy:	 Say it.
SpongeBob:	 There isn't anything...
Sandy:	 Ain't nothin'!
SpongeBob:	  Ain't nothin'  too big or too ornery for you to catch. But...  But...  And...  We...  I...  Yeah but...
Sandy:	 No!
SpongeBob:	 You see...
Sandy:	 No!
SpongeBob:	 I... 
Sandy:	  Worm sign.  He's in that cave.
SpongeBob:	 Sandy, are you sure you...?
Sandy:	 Course I am! I'm going in, and I ain't coming out 'til I got me a big heaping plate of worm stew.  Aha! There you are, you tail-nabbin' varmint! Hi-yah!  I'm winnin', SpongeBob! 
SpongeBob:	 Sandy, that's not...! 
Sandy:	 This shouldn't take long. 
SpongeBob:	 Sandy, that's not...!
Sandy:	 Almost done!
SpongeBob:	 Sandy!
Sandy:	 Yee-haw!  I got him, SpongeBob! 
SpongeBob:	  Sandy...?
Sandy:	 Boy, howdy. This critter put up some sort of fight. But I'm from Texas, and as you can see, no worm is a match for me. I even found my tail! 
SpongeBob:	 That's not the worm.
Sandy:	 Pardon?
SpongeBob:	 That's not the worm. That's his tongue. 
Sandy:	 Ohhhh. This is the tongue, and... the whole thing... is the... worm.  Run for your life! 
SpongeBob:	 So what's the plan, Sandy? 
Sandy:	 Run faster!
SpongeBob:	 I could've thought of that. Hey, wait a minute! I was right, wasn't I?!
Sandy:	 Later!
SpongeBob:	 Ah, he is too big for you, isn't he?
Sandy:	 Not now, SpongeBob!
SpongeBob:	 I wanna hear you say it!
Sandy:	 Can we talk about this another time?
SpongeBob:	 Say it!
Sandy:	 SpongeBob!
SpongeBob:	 Say it, or I'll trip you! 
Sandy:	 No!
SpongeBob:	 Say it!
Sandy:	 Not now!
SpongeBob:	 Say it!
Sandy:	 All right! You were right, and I was wrong. I was wrong, wrong, wrong, wrong, wrong! Are you happy now?
SpongeBob:	 I knew it. 
Fish 3:	 Not again!
SpongeBob:	 Uh, Sandy?
Sandy:	 Yeah?
SpongeBob:	 What do we do now?
Sandy:	  I've got it! SpongeBob, you still got that paper clip and that string?
SpongeBob:	 I'm way ahead of you, Sandy.  Look, it's a necklace! S for "SpongeBob" or S for "Sandy"! That way they can identify our bodies.
Sandy:	 No, silly! How about S for "save our skins"?  Yee-haw! Now this is what I call a rodeo! We'll be nice and safe up here.  We did it!
SpongeBob:	 Yay! He'll never get out of there!
Sandy:	 We saved the town!
SpongeBob:	 Yay! Let's go tell everybody! 
Patrick:	 PUSH!  Push! 
Citizens:	 Hooray! 
Worm:	 Ouuuuuch.
