Ricky Gervais:	  Ten years ago, an unknown   pirate from Encino began a  decade long obsession  with TV's most beloved  an absorbent sponge. And today,  a mere ten years later, obviously,  ten years ago, I said that,  he has traveled all the way to a far off land known as, "Burbank."  To find Nicktoons Animation Studio  and meet his idol  face to face for the first time  in  ten years...it's ten years ago.  It's ten years ago.  Let's see what happens, yeah.
Margaret SquarePants:	 Oh.  Well, what do you think, baby? Should we eat here?  Well, Okay, then.  What would you like?
SpongeBob:	 Krabby Patty!  Yummy!  Good times.  Oh, sorry, Gary, we can reminisce later. I gotta get ready. 
SpongeBob:	 
Patchy:	 Security, more shrimp cocktail in Casting, please. Thank you. 
Devil Potty:	 Look, Patchy, a Rolodex. Why, it's probably full of celebrity phone numbers. You don't need SpongeBob. You can call them yourself. Go on, have a look. Squawk.
Angel Potty:	 That's private property, Patchy. If you get caught looking at it, we'll never get to meet SpongeBob.
Patchy:	 Yeah, good point.
Devil Potty:	 Don't listen to him. You want your TV show to have big-name guests, don't you?
Patchy:	 Yeah. No. I mean...
Devil Potty:	 Then do it.
Angel Potty:	 Don't do it, Patchy.
Devil Potty:	 Come on. Do it! Do it!
Patchy:	 I shall.  Let's see, Dawson, Richard. Rosario. Rosario Dawson! She'll bring a little class to the show.
Rosario Dawson:	 Hello?
Patchy:	 Uh, hello, Rosario.
Rosario Dawson:	 Oh, Goodness.
Patchy:	 It's Patchy the Pirate, president of the SpongeBob
Patchy:	  Fan Club. I'm throwing a little TV
Patchy:	 show-tacular, and I need a little celebrity wind in my sail, so to speak.
Rosario Dawson:	 Okay. You need a little mouthwash is what you need.
Patchy:	 I was wondering if you'd like to be my special guest.
Rosario Dawson:	 Are you going to be in the same city?
Patchy:	 Of course, silly. We'll be working closely together all day.
Patchy:	 Well, back to the old Rolodex. Uh, Bo Derek. Bo Diddly. Eddie Deezen. Eddie Deezen?
Eddie Deezen:	 Hey, when do we film?
Security Guard:	 This way, sir.
Patchy:	 Ooh. This will be good. 
Triumph the Insulting Comic Dog:	 Yes?
Patchy:	 Ahoy, Triumph the Insult Comic Dog.
Triumph:	 I'm Busy. Hurry up.
Patchy:	 This is Patchy the Pirate.
Triumph:	 Oh. Don't give me that Patchy stuff. Come on, Depp, I know it's you. Drop the pirate thing.
Patchy:	 You know, I do get that a lot, but seriously, it's not Johnny Depp.
Triumph:	 Come on. Who is this? The pirate from the cereal box or the litter box.
Patchy:	 The one from Encino. It's Patchy, president of the SpongeBob SquarePants Fan Club.
Triumph:	 Oh, the president. Well, your mother must be so proud.
Triumph:	 Listen, Scratchy.
Patchy:	 It's Patchy
Triumph:	 You know, Catchy, maybe you should consider wearing two eye patches. That way, you won't be able to see what's become of your life.
Patchy:	 What?
Triumph:	 So, what are you tell me, what are you selling, besides your dignity and self-respect?
Patchy:	 None of the above. I was wondering if you'd like to be a guest on the big TV special. That I am throwing for SpongeBob.
Triumph:	 Sorry, Poop-Leg Pete. I'm a big star. I don't do basic cable. I'm on a major network. Kind of.
Patchy:	 It would sure mean a lot to be personally if you'd be on my show, Triumph.
Triumph:	 Oh, it would mean a lot. Well, why didn't you say so? That changes everything.
Patchy:	 Oh.
Triumph:	 You know, I'd love to be on your show. I'd love it as much as I love pulling ticks off my butt.
Patchy:	 Well, fine. Who needs you, you filthy mongrel? 
Triumph:	 Okay, Captain Loser. Send me a script.
Patchy:	 Great! So, you'll be on my show?
Triumph:	 Sure, of course. I'm sure that it's a great script. Three, two, one. For me to poop on!
Patchy:	 Oh, yeah, well, I'll have you know, you are not the biggest star to tell me that. Hello? Hello?
Harold:	 Hey, hey. Chill out, buddy. We all want to get into the Krusty Krab as much as you do.
Harold:	 Oh!
Mable-Monica:	 Ah!
Isabelle Fish:	 Ooh!
Sadie:	 What the?
Frankie Billy:	 Hey!
Fred:	 Ah!
Tom:	 Eh!
Shubie:	 Uh!
SpongeBob:	 Sorry, everybody, but Mr. Krabs needs me.  Reporting for duty, sir. 
Mr. Krabs:	 Take a seat, boy.
SpongeBob:	 Happy eleventy-seventh, Squidward.
Mr. Krabs:	  Today's a big a day for The Krusty Krab.  So I want yous to listen up.  It's a perfect opportunity for Plankton to try and steal the Krabby Patty formula. 
Mr. Krabs:	 No. It's a holographic projection of The Krusty Krab. I want you two to watch all the entrances.
Squidward:	 You mean the front door  the back door?
Mr. Krabs:	 Those are just the ones on the surface.  There is an entire network of tunnels and air ducts underground and I want all eyes on the look out!
SpongeBob:	 Aye, aye, Mr. Krabs.
Mr. Krabs:	 Right. Study the map, stay extra vigilant. Don't fall asleep on the job. That means you, Squidward.
Squidward:	 What? I have never fallen asleep on duty.
Mr. Krabs:	 Don't make me have a flashback.
Squidward:	 All right, point taken.
Mr. Krabs:	 And to help watch out for Plankton, I've hired some  security.
Squidward:	  You hired Patrick?
Mr. Krabs:	 What, you expect me to spend money on a real security guard? You are my first line of defense, Patrick. So, look out for any suspiciorous characters.
Patrick:	  Yes, sir.  Who are you? And Who are you working for?!
Mr. Krabs:	 Plankton doesn't stand a chance.
Plankton:	  It's a conspiracy, I tell you! A thousand and three times I've almost had that recipe, and a thousand and three times I've been launched by that Krabs! He celebrates eleventy-seven years of success,  I'm left with four score and forty fortnights of failure!  I give up, Karen. Krabs has won!
Karen:	  Well, you'll never get the formula with that attitude.  Maybe a thousand and four will be your lucky number.
Plankton:	 Oh, yeah? You try getting launched.
Karen:	 Oh, right, the launchings.  I've got them all on my hard drive.
Mr. Krabs:	 Fore!
Plankton:	 Ow!
Mr. Krabs:	 I'm tired today, Plankton.  You're just gonna have to launch yourself.
Plankton:	 Splat. 
Plankton:	 Karen?!
Karen:	 I'm sorry. That last part always makes me laugh.
Plankton:	 It's just no use!
Karen:	  Today's the  perfect day to steal the recipe. Krabs will be completely distracted by all the festivities. You can do this.
Plankton:	 You really think so?
Karen:	 Of course, I do. Now who's my big man?
Plankton:	 Oh, Karen.
Karen:	 Come on. Come on. Who's my big strong man?
Plankton:	 I am.
Karen:	 That's right. Now get out there and steal that recipe.
Plankton:	  Yes, Ma'am!
Patchy:	 Hey, LeBron, how's the Dribbling?
LeBron James:	 Hey, Patchy, What's up?
Patchy:	 How would you, LeBron James, like to be a guest on the fan clubmongorical special for SpongeBob?
LeBron James:	 I Love SpongeBob, man, but I can't, man. I've got a game today, man.
Patchy:	 Oh, Come on! The season's hardly even started yet.
LeBron James:	 Huh?
Patchy:	 Oh, they won't care if you miss one game, will they?
LeBron James:	 I have a contract. I have to go.
Patchy:	 Oh, contract  schmontract.  We have party gifts.
LeBron James:	 Dude, I gotta go.
Patchy:	 Oh!  This casting business is harder than 40 years of barnacle buildup.  Okay, time to get serious.
Tina Fey:	 Hello.
Patchy:	 Ahoy, Tina.
Tina Fey:	 Who is this?
Patchy:	 Patchy... the pirate.
Tina Fey:	 Oh, I don't know any pirates anymore. Are you sure you have the right number?
Patchy:	 Hey, listen, us bad soul sistas have to stick  together, huh?
Tina Fey:	 Sure.
Patchy:	 Great, 'cause I'm throwing a huge telestravaganza for SpongeBob SquarePants and I'd love it if you'd come down and sing a song for us.
Tina Fey:	 I'm not much for singing, but I love SpongeBob. Who else is going to be performing?
Patchy:	 Aren't you the modest one? Well, SpongeBob, for one, will be on the show.
Tina Fey:	 Oh, Tom Kenny, the voice of SpongeBob?
Patchy:	 Who?
Tina Fey:	 Well, you said SpongeBob is going to be on the show.
Patchy:	 That's right. The little sponge is the guest of honor.
Tina Fey:	 But, he's a cartoon, so you mean the guy who does the voice, right?
Patchy:	 Listen, Miss Turner, you let me handle the guests. You stick to your singing and dancing.
Tina Fey:	 Mrs. Turner? Oh, no, this isn't Tina Turner. This is Tina Fey.
Patchy:	 Who?
Patchy:	 Hello? Hello, Tina? You'd better be good to me.
Patchy:	 
Will Ferrell:	 Yeah, who's calling me?
Patchy:	 Hey, Will, it's Patchy the pirate,  president of the SpongeBob SquarePants fan club  in Encino, and I'm throwing a little TV special for him.
Will Ferrell:	 Oh, really? Well, I'm president of the SpongeBob Fan Club, Tarzana chapter, and I'm throwing a TV show, too,  so get in line. 
Patchy:	 What?! You can't do that!
Will Ferrell:	 Can't I? Well, guess what. I'm doing it. You'd better wrap your mind around it because guess what.  My show's also gonna be a lot better.
Patchy:	 Doubt it. Who are your guests?
Will Ferrell:	 You name it, we've go it: Hollywood stars, musical people, singers, jugglers, a guy who does things with knifes.  Do you have that,  huh? Who do you have?
Patchy:	 Hang on to your hat. Sir Quentin and Mr. Tinder. Ever heard of 'em?
Will Ferrell:	 What?! The world's fifth best ventriloquist and his wooden sidekick?
Patchy:	 Of course, silly.
Will Ferrell:	 No way!  No!  Okay, you win this time, but just you wait for the 20th. 'Cause I will come at you harder and faster.
Patchy:	  20th anniversary...
Crowd:	 We want Krabby Patties! We want Krabby Patties!
Mr. Krabs:	  Now to add some special anniversary deals to the menu.  Krabby Patty... 20 bucks. 39 bucks. 30.  Oh, number zero, how I love you so.  SpongeBob!
SpongeBob:	 Y-Yes, Sir?
Mr. Krabs:	 I'm putting you in charge of decorations.
SpongeBob:	 Oh, but Mr. Krabs.
Mr. Krabs:	 Yes, boy?
SpongeBob:	 I thought you said that I was going to be in charge of decorations.
Mr. Krabs:	 What? But you are.
SpongeBob:	 I am?  Yay!  Yeah! Yeah!
Mr. Krabs:	 Squidward! I had chores for you, but you won't do 'em anyway.
Squidward:	 It only took you eleventy-seven years for you to figure that out?
Mr. Krabs:	 Here's your budget, boy.  Decorate it any way you want.
SpongeBob:	 Wow! Fifty cents!
Squidward:	 Your letting SpongeBob decorate? Remember all the other times SpongeBob decorated?
Squidward, SpongeBob, and Mr. Krabs:	 Hmm...
SpongeBob:	 Yee-haw!
SpongeBob:	 Do you come here often?
Squidward, SpongeBob, and Mr. Krabs:	 Hmm...
Mr. Krabs:	 Well, you want want to do it, then?
Squidward:	 No.
Mr. Krabs:	 Then shut your porthole.
Squidward:	 Battening down the word hatches, sir.
Squidward:	 What? What are you...?
SpongeBob:	 There we go.
SpongeBob:	 Your change, sir.
Mr. Krabs:	 Good work, boy. What, that's it?
Mr. Krabs:	 Decorations, check. Security?
Mr. Krabs:	 Check.
Crowd:	 We want Krabby Patties! We want Krabby Patties!  We want Krabby Patties!
Mr. Krabs:	  Okay, open your ears. These people have come from miles around because they love my patties. I want every employee on their best behavior.
Squidward:	 Are you getting any of this, SpongeBob?
SpongeBob:	 Every word, Squidward, every word.
Mr. Krabs:	 So, let's get out there and sell some Krabby Patties!
SpongeBob:	 Yes! Yeah! Ooh, I almost forgot. Mr. Krabs, wait! There's one last decoration!  I present to you...  I present to you...  ... my ode to the Krabby Patty  made entirely out of ice.
Mr. Krabs:	 Geez, boy.  This thing's enormous.
Squidward:	  and cold.
Mr. Krabs:	 All right let's get this thing out of here. Me customers are waiting.
SpongeBob:	 Ready? Set?  Guys, I'm okay. No need to scream.
Mr. Krabs:	 The door!
SpongeBob:	 Oh, no. Patrick, stand up!  We're locked in!  This is gonna spoil the eleventy-seventh anniversary.
Crowd:	 We want Krabby Patties! We want...
Mr. Krabs:	 Somebody...
Mr. Krabs and Squidward:	 Anybody, I don't care who!
SpongeBob:	 How do we get out?
Mr. Krabs:	 Everybody, calm down. I spent a lifetime working in this restaurant, and I know there's only one way out of here.
Patrick:	 A high school diploma?
Mr. Krabs:	 No,  the air duct.  This way boys.  All we have to do is head through this duct.
Squidward:	 Which one? There must be 20 ways to go.
SpongeBob:	 Not to worry, Squidward. I have the entire map memorized.
Mr. Krabs:	  Uh, hmm, uh...
SpongeBob:	  Hurry up, guys, this kind of hurts.
Mr. Krabs:	 Well, according to the map, we just go straight, take a right between these three moldy tree stumps, then head towards that kidney-bean shaped pile of gravy.
Squidward:	 That's not the map, you old barnacle. those are  three moles and a birthmark.
Mr. Krabs:	 Oh. All right,  then, let's try this one.
Squidward:	  It's this way.
Patrick:	 Here it is.
Mr. Krabs:	 Hey, what's this?  It's an old Krabby Patty wrapper.  Aah, that takes me back to the good old days.
TV Narrator (1950s):	 Now a word from our sponsor.
Female Singers:	  ♪ K-R-A-B-B-Y  P-A-T-T-Y ♪
Male Singers:	 ♪ Bud dum dum dum dum ♪
Female Singers:	 ♪ Krabby Patty  give 'em a try ♪
Mr. Krabs:	  ♪ Come on down and... ♪
Mr. Krabs and the Female Singers:	 ♪ ...buy, buy, buy. ♪
Female Singers:	 ♪ Not just one or  two or  three, but  enough for the whole,  family. ♪
TV Narrator (1950s):	  Yes, folks, nine out of ten doctors recommend eating at least one Krabby Patty a day to maintain a healthy lifestyle and a youthful, positive attitude.
Dr. Krabs:	  I'm a doctor... as far as you know, and I believe Krabby Patties add years to your life.  So, what are you waiting for? Go out and get yourself a Krabby Patty.  Or go out and buy a Sackful of Krabbies.  Or better yet, go out and get yourself a case of the Krabbies.  For your health.
Female Singers:	  ♪ K-R-A-B-B-Y P-A-T-T-Y  Krabby Patty. ♪
Mr. Krabs:	 Back then, Krabby Patties only cost a dime.  It was a dark and  evil time.  I still have nightmares.
Squidward:	 We'll never get out of here.
SpongeBob:	 Don't worry Squidward. We'll find a way out and then we'll have the best eleventy-seventh anniversary ever. All we have to do is stick together.
Squidward:	 Stop breathing on my neck. Yuck.
Mr. Krabs:	 Hey, I think  I see the exit.
Mr. Krabs:	 Ah, barnacles. It's just the Surveillance Room.
SpongeBob:	 Oh. My house is on TV. All of our houses are on TV. 
Gary:	 Meow. Meow. Meow. Meow.
SpongeBob:	  Gary the snail, you get down from that this instant.
Patrick:	  Hey, there's my house.
Squidward:	 You left your TV on.
Patrick:	 Well, duh. I don't want to miss my shows.
SpongeBob:	  Look, it's Sandy!
Squidward:	 Mr. Krabs,  Why do you have cameras watching us?
Mr. Krabs:	 Oh, uh... uh... uh...  I just want to make sure you all floss after ever meal.
SpongeBob:	 Thank you Mr. Krabs. Dental hygiene is very, very important.
Patrick:	 Pointing to a screen
SpongeBob:	 I think that's us, Patrick.  But, who  are they?
Crowd:	  We want Krabby Patties!
Crowd:	 ...Patties! We want Krabby Patties!  Krabby Patties! We want Krabby Patties! We want Krabby Patties!  We want Krabby Patties!
Mr. Krabs:	  We're  getting warm. I can feel it.
SpongeBob:	 That might just be my hand, Mr. Krabs.
Mr. Krabs:	 Hmm, a crossroads.  I'll go this way, and SpongeBob,  you lead them down that way.
SpongeBob:	 Lead them? I can finally  use my leader hat...  and my lederhosen.
Patrick:	 Nice.
Squidward:	 Those are just sock garters, you idiot.
SpongeBob:	 Follow me!
Squidward:	 This is not happening. It's just not happening.
SpongeBob:	 Guys, its a dead end.
Patchy:	 Hey,  I went to Blackbeard Polytechnic with this guy. He has to be on my show, according to pirates' code.
Craig Ferguson:	 Hello.
Patchy:	  Is this Captain Craig, son of Fergu?
Craig Ferguson:	 Oh, hey, Patchy the Pirate.
Patchy:	 How's me old Blackbeard College Roommate?
Craig Ferguson:	 You know, I'm good, I'm good, Patchy. Listen, it would be great to go plunging down memory rapids with you, but I'm kind of busy right now.
Patchy:	 List, Fergulicious. I was hoping I could get you to appear on my SpongeBob Fan Club tenth year anniversary show tonight.
Craig Ferguson:	 Uh, no. No, that's not going to work for me.
Patchy:	 Oh, you have to. It's in  the pirates' code.
Craig Ferguson:	 Arr!
Patchy:	 Argh!
Craig Ferguson:	 Arrghh!
Patchy:	 Arrr!
Craig Ferguson:	 Grrr!
Patchy:	 Oh, no. I'm not gonna go there. 'Cause I see how it is, Mr. Big Shot, Mr. TV. No time for your old pirate school buddies anymore.
Craig Ferguson:	  That's right, Patchy. I got my own network TV show now.
Patchy:	 Oh, great. So, how's on your big fancy-schmancy TV show Tonight?
Craig Ferguson:	 Actually, we've got a real A-lister tonight. Robin Williams in on.
Patchy:	  Robin Williams?!  Go to go, Fergo.
Craig Ferguson:	 Where's my bagel?! Bagel!
Patchy:	 Thanks for the tip, Ferguson.
Patchy:	  Mr. Williams. How are...?
Robin Williams:	  Whoa. Give me one.
Patchy:	 So, are you-ho-ho, here for the show?
Robin Williams:	 I am. I'm a little late.
Patchy:	 This way.
Robin Williams:	 Right this. There isn't someone dressed up as Popeye is there?
Patchy:	 I never heard of him.  ...Go.
Robin Williams:	 What's your name again?
Patchy:	 Keep up, Mr. Williams. Pagey, Pagey the Pirate
Robin Williams:	 Pagey, oh. Oh excuse me just one second.
Patchy:	  Oh, Mr. Williams, that's not for you.
Robin Williams:	 Okay.  Not for me. I've never been this way.
Patchy:	 You've signed all the releases and everything?
Robin Williams:	 Um, not yet, but... What-what part of the studio is this?
Patchy:	 Oh, it's the part, that... We're on our way to the green room.
Robin Williams:	 Oh.
Patchy:	 Don't you worry, Mr. Williams.
Robin Williams:	 I've never been to this part of the studio before.
Patchy:	 Oh, it's its a new way.
Robin Williams:	 A new way?
Robin Williams:	 You don't mind if I use...?
Patchy:	 Oh, sure.
Robin Williams:	 Thank you.
Patchy:	 Oh, and Mr. Williams I...
Robin Williams:	 Sorry.
Patchy:	 It's okay.  I'll just wait out here.
Robin Williams:	 Hey, Dave, I'm at the Ferguson Show... I think. And there's this pirate...
Patchy:	  Mr. Williams,  everything okay on the poop deck?
Robin Williams:	  I'll be right there.
Patchy:	 Okay.
Robin Williams:	 I don't know if there doing a takeoff Hook, or if I'm being...
Patchy:	  Everything okay Mr. Williams?
Robin Williams:	 Yeah, everything's fine, Patchy.
Patchy:	 All righty.
Robin Williams:	  I'll be right out!
Robin Williams:	 I'll call you back if I need any help. I'm going to leave the phone in my pocket.
Patchy:	  Time is money.  Everything all right in there?
Robin Williams:	 uh, yes, yes, but...
Patchy:	 I'm sorry, I don't want to be late for the show, Mr. Williams.
Robin Williams:	 Oh, I don't either. Which way?
Patchy:	  Go that way.
Robin Williams:	  That way.
Patchy:	 Go that way.
Robin Williams:	 That way?
Patchy:	 That way.
Robin Williams:	 Where are we?
Patchy:	 Oh, just a place I know of.
Robin Williams:	 What are we in the basement of the Copa? This is like a shot from The Raging Bull. This is an abduction.
Patchy:	 Oh, abduction?
Robin Williams:	 Oh, wait a minute, this is nuts.
Patchy:	  Abduction?
Robin Williams:	 What are you laughing about? This is.. Wait a minute, I know this place. This is where careers come to die!
Patchy:	 Right this way, Mr. Williams.
Robin Williams:	 Oh, Patchy.
Patchy:	 The Green Room.
Robin Williams:	 The old green room.
Patchy:	 'Cause its green.  There you go, right there.  Sit down. I'm gonna to get more celebrities, okay?
Robin Williams:	 More?
Patchy:	 Don't Try to escape! I mean... enjoy our hospitality.   Who else you got, Ferguson?! 
Narrator:	 It's Patchy the Pirate's SpongeBob SquarePants  Fan Club Big Time Impressive Celebrity Television Extravaganza.  With Celebrity guests-- basketball mascot, The 3 Point Fowl,  The Guy on the Penny,  her majesty, the Queen,  musical guest, P!nk,  Sir Quentin and his little wooden sidekick, Mr. Tinder,  and guest of honor SpongeBob SquarePants. From Encino, California, the president  of the SpongeBob SquarePants Fan Club and your host,   Patchy the Pirate.
Patchy:	 ♪ Ten years   of Sponge... ♪
Potty:	 Brawk. You're looking at the wrong camera.
Patchy:	 What? Potty,   where are ya?
Potty:	 Que camera three.
Patchy:	 I can't hear you.
Potty:	 Que Talent.
Patchy:	 "Cue"? What does that mean?
Patchy:	 What are you pointing at   me for?  You have a headache?   Anyhoo, can you believe it, kids? It's been ten years since I started the SpongeBob SquarePants Fan Club. And he's here in person. I'm finally gonna meet me idol. Let's bring him out now.   Nobody cares.   Without  further ado, please welcome SpongeBob SquarePants.  Without further ado, please welcome SpongeBob SquarePants. 
Potty:	 Squawk, squawk, squawk.
Patchy:	 What?! What do you mean he's not coming?! Ten years I've been presidentin' his fan club.  He never answered any of my letters.  He never showed up to any of my charity luncheons.  Now I throw him a television extravaganza, and he can't even be bothered to show up?!  Well, we'll just see about that!   You  want a piece of me, well, you're going to get one.  Think you can spurn my advances, eh? I've been a fan since the beginning. Ten...Oh!  Oh, you... 
P!nk:	 I  can't believe I gave up my Hawaiian Vacation for this.
Mr. Tinder:	 I really love your music.
P!nk:	 Remind me to make my agent walk the plank.
The Queen:	 How are we supposed to eat these?
Potty:	 Can I get you anything?
The Queen:	 A pineapple slicer, please.
P!nk:	 Passage on the next steamer out of here?
Potty:	 Just five more minutes.
P!nk:	 Well, there's no use sitting around like a bunch of barnacles on the bottom of a dry dock dinghy. Let's do some practicing!
Band:	 Arr!
P!nk:	 One, two, three, four!  ♪ Our gums are black, our teeth are falling out.  We got spots on our backs, so give it up and shout. ♪
P!nk and the band:	 ♪ We got scurvy. ♪
P!nk:	 ♪ We need Vitamin C. ♪
P!nk and the band:	 ♪ We got scurvy. ♪
P!nk:	  ♪ We need a lemon tree. ♪
P!nk and the band:	 ♪ We got scurvy. ♪
P!nk:	 ♪ We just chillin' on the sea. ♪  Let's get this scurvy started.  ♪ A pirate ain't worthy  til he's got scurvy. Since you got your scurvy, oh, you unnerve me when you sing that song. Scurvy! ♪
the band:	 ♪ Scurvy! ♪
P!nk:	 ♪ We got scurvy! ♪
the band:	 ♪ Scurvy! ♪
P!nk:	 ♪ We got scurvy! ♪
the band:	 ♪ Scurvy! ♪
P!nk:	 ♪ We got scurvy. ♪
the band:	 ♪ Scurvy. ♪
Patchy:	 Hey!
Patchy:	 there it is.  I'm coming for ya, SquarePants.
Plankton:	 Thank Neptune that's over.  Uh-oh.
SpongeBob:	 Ow!
Plankton:	 SpongeBob!  Why must you always ruin my plans?
SpongeBob:	 Plankton,  you're trying to steal the Krabby Patty recipe again.
Plankton:	 Uh, I didn't, uh... Okay fine. You caught me. You happy now?
SpongeBob:	 You know, this reminds me of the time Mr. Krabs confided in me the Krabby Patty recipe. Oh, I don't want to bore you with my silly old stories.
Plankton:	 Oh, you couldn't possibly bore me.
SpongeBob:	 Well, okay. Mr. Krabs called me into his office.
Mr. Krabs:	 SpongeBob, you've been working here for a while now, so I think I can trust you. It's time I told you.
SpongeBob:	 You mean?
Mr. Krabs:	 Yes. The Krabby Patty formular. Follow me, son.  We need to go where no one will ever hear us.  Ugh. We finally made it.  Quick, get into me office before anyone sees us.
Plankton:	 What? You just went in a circle. Why didn't you just stay in the Krusty Krab?
SpongeBob:	 We wanted to make sure we weren't followed. Then, Mr. Krabs leaned in close and whispered the recipe.
Plankton:	 Yes? Go on.
Mr. Krabs:	 Now, remember, you can never tell another living soul.
Plankton:	  Wait!  Wait! Hold on!
Mr. Krabs:	  What's that?
Plankton:	 My pen is out of ink.  Okay, okay, go ahead.
Mr. Krabs:	 Plankton.  You'll never have get me formula.  Not even in a flashback.
Squidward:	 SpongeBob, if you had never come to Bikini Bottom, this wouldn't be happening. 
Mr. Krabs:	 Squidward, what's with the creepy smile?
Squidward:	 I was just  remembering the world before SpongeBob.
Flowers:	 Morning, Squidward.
Squidward:	 Good Morning, Not SpongeBob.
SpongeBob:	 But, Squidward, you're glad I moved in. Remember that day.  ah-uh.  Nah.  No. 
Patty Rechid:	 Okay, well, that's every available house in Bikini Bottom. 
Squidward:	 My secret garden is finally done.
Patty Rechid:	 Oh, yeah, I forgot that one.
SpongeBob:	 It's beautiful.  I'll take it.   Hi, neighbor!  I'm SpongeBob SquarePants.  And we're going to be bestest friends.  Hey, Patrick. Guess, who just moved in right next door?
Patrick:	 Neighbor hug!
Crowd:	  We want Krabby Patties! We Want  Krabby Patties!
Mr. Krabs:	 What's the sound? Customers!
Crowd:	 We want Krabby Patties! We want Krabby Patties! We want to spend money!
Harold:	 What do we want?
Crowd:	 Krabby Patties!
Harold:	 What do we welcome?
Crowd:	 To Spend Money!
Mr. Krabs:	 Oh, no. All that loose change out there  is driving me wallet mad with money lust.  Poor little guy's starving.  There you go, boy. You're free. Go towards the money boy. Towards the money! 
Dave:	 Hey a wallet!  And there's 50 bucks in it. All right! 
Mr. Krabs:	 Hey! Oh, no!  What am I going to do?  We gotta get out of here. Now!
SpongeBob:	 Oh. If only Sandy was here. She could help us.
Patrick:	 Oh! Hey, maybe we can use this.  I borrowed it from Sandy's treedome. It might be our way outta here. Shh! Everybody quiet! Hey, Sandy, I got your radio! If you want it back, come and get it! She'll come.
Squidward:	 Oh, give me that.  Snady, come in, Sandy.
Sandy:	  Sandy Cheeks here.  So, it was  you who stole my other radio, Squidward!
Squidward:	 What? No. I'm just-- I
Patrick:	 Sandy's trapped in that box!  Sandy?
SpongeBob:	 Remember the day Sandy and I got married?
Mr. Krabs:	 What?
Squidward:	 No.
Patrick:	 I'm freaking out!
SpongeBob:	 Mm-hmm.
Wedding Officiant:	 Friends, we have gathered here today  to join  these two hearts  in the bonds of love.  SpongeBob, do you take Sandy as your lawfully wedded wife?
SpongeBob:	 I do.
Wedding Officiant:	 And Sandy, do you take SpongeBob as your lawfully wedded husband?
Sandy:	 And how!
Wedding Officiant:	 Well, then, I now pronounce you sponge and squirrel. You may kiss the bride.
Frank (red shirt):	 Boo! You Stink!
Mr. Krabs:	 Worst play I've ever seen.  And a total rip-off!
Fish:	 What has happened to the theater?
Another Fish:	 Lousy Costumes.
Wedding Officiant:	 I didn't know this was a play.
Patchy:	 Well, kids, this was supposed to be the part of the show where SpongeBob and I were gonna watch old outtakes  and rejected scenes and talk about 'em.  But he never showed up! And now I'm stuck in the belly of a whale! Oh, well. We already paid for the airtime, so here they are.  Hello, children. You know, like any great work of art, SpongeBob did not just appear out of nowhere. He started out as a thought.  The he evolved into  a primitive rendering... And along the way  to becoming the sponge we all know and love,  he went through many different changes. And phases and phanges.  And pain can be very painful. For instance,  did you know that SpongeBob was not the first choice to star in the show?  Hard to believe, I know. Watch these opening themes, and you'll see why he was eventually picked.
Painty:	 Are you ready, kids? 
Kids:	 Aye, aye, Captain.
Painty:	 I can't hear you.
Kids:	 Aye, aye, Captain!
