Narrator:	 Fishermen have quite an effect on our undersea friends. 
Mr. Krabs:	 The hooks! No! No! No!
SpongeBob and Patrick:	  1, 2, 3...
Mr. Krabs :	 Wait! Wait!
SpongeBob and Patrick:	 ...blastoff. 
Mr. Krabs:	 Boys. I wasn't quick enough. They're gone! [] If I can only hold them in me arms again, I'd...I'd...  ...I'd throttle 'em! What did I tell you about those hooks, boy?!
SpongeBob:	 I...I...I...
Patrick:	 I'll tell you about the hooks. You ride em up, and up, and up, then you gently flow down.
Mr. Krabs:	 And do you know what happens when you  float back down?
SpongeBob:	 Gift shop?
Mr. Krabs:	 Worse! You end up vacuum-packed in a can of tuna.  With nothing to look forward to but the smell of mayonnaise. 
SpongeBob and Patrick:	 We're sorry, Mr. Krabs.
Mr. Krabs:	 I want you boys to promise me you'll never go on those hooks again.
SpongeBob & Patrick:	  We promise Mr. Krabs.
Mr. Krabs:	 I need a sailors promise. Repeat after me: Yo-ho, yo-ho, near the hooks I'll never go.
SpongeBob and Patrick:	 Yo-ho, yo-ho, near the hooks we'll never go.
Mr. Krabs:	 Yow! Mother of pearl! Fire on the poop deck!
SpongeBob and Patrick:	 Ahh! Mother of pearl. Fire on the poop deck.
Mr. Krabs:	 Whoa. Whew. Alright then. Let's get out of this death trap. 
SpongeBob:	 Ok, Gary. Today is a new day. I'm ready to prove myself loyal to Mr. Krabs.
Gary:	 Meow.
SpongeBob:	 I'm ready!  I'm ready. I'm ready. I'm ready. I'm ready. I'm ready, ready, ready. I'm ready. 
Patrick:	 Hey, SpongeBob, you're going the wrong way. 
SpongeBob:	 I always go to work this way.
Patrick:	 You're not going to work today. We're going to go play hooky!
SpongeBob:	 But, Patrick, we promised.
Patrick:	 Well, I had my fingers crossed.
SpongeBob:	 You don't have any fingers, Patrick.
Patrick:	 Well, that Mr. Krabs is just a big dummy. We played on those hooks all day long and nothing happened to us.
SpongeBob:	 But Mr. Krabs said...
Patrick:	 Look, SpongeBob, are you gonna listen to a big dummy, or are you gonna listen to me?
SpongeBob:	 Umm...
Patrick:	 See ya later, SpongeBob. I'm going to go have some fun.  Come on SpongeBob. You know you want to.
SpongeBob:	 Ooh, I know I want to, but I promised Mr. Krabs that I wouldn't go near another...  ...hook!  Oh no! Mr. Krabs told me all about you. You are a liar. A deceiver. I'll never fall for your tricks again. Never!  Is this seat taken?  Whew. Glad I got that out of my system.  I'm...hooked! And that means...  Help! I'm hooked! Help! Mr. Krabs! Help! It happened! I'm hooked! Oh, no! The hook! The hook! Gift shop, tuna can, mayonnaise!
Mr. Krabs:	 Here you go, Pearl. Free water for all your little friends.
Pearl:	 Thanks, dad.
Mr. Krabs:	 Just don't forget to leave a tip for ol Mr. Krabs.
SpongeBob:	 Psst, Mr. Krabs.
Mr. Krabs:	 SpongeBob! You're two minutes late. What kept you, laddie?
SpongeBob:	 Um, you know those hooks we were talking about yesterday?
Mr. Krabs:	 Didn't I tell you not to go near those hooks?
SpongeBob:	 Umm...no.  I mean yes, yes, you told me not to go near them.
Mr. Krabs:	 Well, you weren't playing on those hooks, were you lade?
SpongeBob:	 Of course not.  I mean, not exactly.  I mean yes! Yes I did it! I admit it!  Oh, Mr. Krabs! I'm so ashamed! I mean, look at me! I'm hooked! 
Mr. Krabs:	 Hmmm, it's in there pretty deep.
SpongeBob:	 What am I going to do?
Mr. Krabs:	 There's only one thing to do, boy. 
SpongeBob:	 Oh no, Mr. Krabs. I can't take off my pants. Not in front of all these girls.  Doh, ok. I'm taking em off. I'm taking 'em off.  There.
Mr. Krabs:	 Uhh...lad?
SpongeBob:	  Oh no. Oh no, no, no, Mr. Krabs. I can't do it! Anything but that!
Mr. Krabs:	 I understand. You were a good little fry cook, SpongeBob.  But, we'll find another. Hopefully one that will listen to ol Mr. Krabs.
SpongeBob:	  Oh, Mr. Krabs! I'll listen! I promise.  Please save me, Mr. Krabs!  I promise I'll be good!  Whew. 
Pearl:	 Ooh, look!  It's SpongeBob NudeyPants. 
Squidward:	  Well, that was more of SpongeBob than I needed to see.
Mr. Krabs:	 Mr. Squidward, that was some fine angling. Do you think the lad has learned his lesson?
Squidward:	 Oh, I think he'll remember this for a long time. I know I will. 
Patrick:	  Hello? Does somebody have a can opener?
