Tina-Fran:	 Squidward, we love you!
Squidward:	 Try anything! I cannot go to my clarinet recital like this.
Sandy:	 I'll continue working on it. In the meantime, you boys keep your head up.
SpongeBob:	 Together forever.
Squidward:	 Misery.  SpongeBob, hasn't anyone taught you how to ride a bike?
SpongeBob:	 Don't worry, I'll drive.
Squidward:	  Ow, ow, ow. SpongeBob! Ow, ow, ow, ow, ow. 
Customer #1:	 I gotta lay off the hot sauce.
Mr. Krabs:	  What in blazes is going on in here?
SpongeBob:	 Oh, hi, Mr. Krabs.
Mr. Krabs:	 What are you two doing laying around? Get to work.
Squidward:	 If you say so. 
Mr. Krabs:	 Egad. What happened to ya? Uhh, I don't want to know. Just go do your jobs.
SpongeBob:	 Aye aye, cap'n.
Squidward:	 Do you have to be such an accommodating buffoon?
SpongeBob:	 Squidward, everybody knows I'm a sponge. I look nothing like a balloon.
Squidward:	 I don't have time for this. I've got to man the cash register.  Whew. Can I help you?
Customer #2:	 Can I get two Krabby Patties, please?
Squidward:	 SpongeBob, I need two Krabby Patties.
SpongeBob:	 Two Krabby Patties coming right up.  Can't... reach the buns.
Mr. Krabs:	 SpongeBob, what's the hold up?!
SpongeBob:	 Sorry, Mr. Krabs. I'm on it.
Mr. Krabs:	 Time is money, boy.
SpongeBob:	 Time is money. Right.  Hello bun. At last we meet. 
Mr. Krabs:	 Alright, that's it. I can't afford you jeopardizing me business. You two are more trouble than you're worth.  And don't come back until you get this problem sorted out.
SpongeBob:	 Look on the bright side, Squidward. At least we still have each other.
Squidward:	 That's how we got into this predicament in the first place, you imbecile. Now if you'll excuse me, I'd like a moment of peace. 
Surfer:	 Whoa, rock on, freaky bro!
Squidward:	 Sandy! Sandy! Please tell me you've figured out a way to separate us.
Sandy:	 Say hello to the 'Molecular Separator Ray'.
Squidward:	 Hello Molecular Separator Ray. Well, let's get on with it. My clarinet recital is tomorrow night.
Sandy:	 Uhh, well, I'm not quite done with it yet.
Squidward:	 What'd you say?
Sandy:	 I'm still putting it together. At best I'll have it ready, uhh, the day after tomorrow? Maybe? [Squidward pushes Sandy's air helmet]
Squidward:	 What? Day after tomorrow?! No, No, No, No, No, No, No, No, No! I have a performance tomorrow! I can't be stuck to that yellow freak.  Sandy, please, you've got to do it before the show.
Sandy:	 Well, uhh, I suppose... I'll have it ready before you go on. 
Squidward:	 Of course.  Oh, my.  Where are you, Sandy? Sandy? I can't do it. I can't go out there.
SpongeBob:	 Squidward, this is your moment. The story you will tell when you look back as a... superstar.
Squidward:	 Superstar?
SpongeBob:	 Now go out there and give them the best darn show they've ever seen.
Squidward:	 You're right. The show must go on.
Announcer:	 Ladies and gentlefish, Bikini Bottom's Community Rec Center is proud to present: Squidward Tentacles. 
Evelyn:	 Honey, I'm scared. 
SpongeBob:	 Uhh, hi.
Martin:	 Whoa. Rock on, freaky bro! Yeah. Whoo! 
SpongeBob:	 Wow, they really liked it.
Mr. Krabs:	  There you go, Squiddy.
Squidward:	 They... they... they're cheering. Superstardom. This must be what it feels like. This is what it looks like. What it [starts to laugh happily] sounds like. And...  ...what it smells like. Oh, simply intoxicating.
Sandy:	 Whoo-wee, there you boys are. Looks like I'm just in time.
SpongeBob and Squidward:	 Sandy?
Sandy:	 One blast of this Molecular Separator Ray and you'll be separated for good. 
Squidward:	  Hmph. 
Mary:	 I think I'm going to be sick. 
Billy:	 Ah, I'm out of here!
Squidward:	 Huh, no wait. Wait!  Oh, my one moment of fame... gone.  There's got to be some way to reverse this. 
Sandy:	 No, Squidward! That's a very sensitive device!
SpongeBob:	 Squidward, I wouldn't--! 
Therapist:	 So, what seems to be the problem, Mr. Tentacles?
Squidward:	 It all started when I was born. 
